O_Purpose,D_Purpose,Distance,Travel_Time,Age_Group,Gender,License,HH_Size,Num_Student,Num_Driver,Num_Worker,Num_Vehicle,HH_Income,HH_Trips,TRAVEL_MODE
1,4,7.448,15,11,2,1,1,0,1,1,2,7,5,3
4,9,11.172,27,11,2,1,1,0,1,1,2,7,5,3
9,9,7.245,20,11,1,1,1,0,1,0,1,4,5,3
9,4,4.525,31,11,1,1,1,0,1,0,1,4,5,3
4,9,4.966,20,11,1,1,1,0,1,0,1,4,5,3
9,4,8.424,19,11,1,1,1,0,1,0,1,4,5,3
4,1,7.419,15,11,1,1,1,0,1,0,1,4,5,3
9,1,9.631,25,10,1,1,2,0,2,1,2,7,5,3
1,4,4.309,15,11,2,1,2,0,2,1,2,7,5,3
4,1,4.786,15,11,2,1,2,0,2,1,2,7,5,3
9,1,0.524,34,11,1,1,1,0,1,0,1,4,12,1
4,4,3.277,15,11,1,1,1,0,1,0,1,4,12,3
9,1,7.694,12,7,1,1,2,0,2,2,2,5,13,3
1,1,7.447,11,7,1,1,2,0,2,2,2,5,13,3
1,2,4.205,12,7,2,1,2,0,2,2,2,5,13,3
1,9,5.7,12,7,2,1,2,0,2,2,2,5,13,3
1,9,7.813,10,12,2,1,2,0,2,0,2,5,6,3
4,1,8.613,15,12,2,1,2,0,2,0,2,5,6,3
1,9,6.763,26,5,1,1,4,2,3,3,3,8,23,3
4,1,3.292,12,5,1,1,4,2,3,3,3,8,23,3
4,9,3.267,11,5,1,1,4,2,3,3,3,8,23,3
1,9,5.832,15,12,1,1,1,0,1,0,2,1,8,3
9,9,8.004,20,12,1,1,1,0,1,0,2,1,8,3
1,9,4.498,30,12,1,1,1,0,1,0,2,1,8,3
9,4,2.399,40,12,1,1,1,0,1,0,2,1,8,3
4,1,2.325,17,12,1,1,1,0,1,0,2,1,8,3
1,9,11.14,30,12,1,1,2,0,2,0,2,1,7,3
4,1,2.248,15,12,1,1,2,0,2,0,2,1,7,3
1,9,0.594,10,12,1,1,2,0,2,0,2,1,7,3
9,1,0.502,10,12,1,1,2,0,2,0,2,1,7,3
1,9,0.594,10,12,2,1,2,0,2,0,2,1,7,4
9,1,0.502,10,12,2,1,2,0,2,0,2,1,7,4
1,2,11.301,30,6,2,1,5,2,4,3,5,7,9,3
2,9,4.72,30,6,2,1,5,2,4,3,5,7,9,3
9,9,2.82,10,6,2,1,5,2,4,3,5,7,9,3
9,1,3.432,10,6,2,1,5,2,4,3,5,7,9,3
1,9,11.058,30,6,2,2,5,2,4,3,5,7,9,3
9,1,11.059,45,6,2,2,5,2,4,3,5,7,9,3
4,8,10.33,49,5,2,1,3,1,3,3,2,8,12,2
8,4,2.217,46,5,2,1,3,1,3,3,2,8,12,2
4,4,10.353,27,5,2,1,3,1,3,3,2,8,12,4
9,1,2.588,10,9,1,1,4,2,3,2,3,8,15,3
1,4,2.142,10,12,2,1,2,0,2,0,2,7,12,3
1,4,2.142,10,12,1,1,2,0,2,0,2,7,12,4
1,4,2.231,10,12,2,1,2,0,2,0,2,7,8,3
4,1,2.27,10,12,2,1,2,0,2,0,2,7,8,3
1,4,4.125,10,12,1,1,2,0,2,0,2,7,8,3
4,1,4.136,10,12,1,1,2,0,2,0,2,7,8,3
1,9,10.714,15,9,1,1,1,0,1,1,1,7,7,3
9,1,9.853,14,9,1,1,1,0,1,1,1,7,7,3
1,9,0.534,22,9,1,1,1,0,1,1,1,7,7,1
1,4,2.606,15,12,1,1,1,0,1,0,1,6,4,3
4,1,2.795,15,12,1,1,1,0,1,0,1,6,4,3
1,4,5.382,30,12,1,1,1,0,1,0,1,6,4,3
4,1,5.308,30,12,1,1,1,0,1,0,1,6,4,3
4,1,3.954,15,11,2,1,2,0,2,0,2,7,8,3
4,1,3.954,15,11,1,1,2,0,2,0,2,7,8,4
1,4,1.53,10,11,1,1,2,0,2,0,2,7,8,3
4,1,2.151,10,11,1,1,2,0,2,0,2,7,8,3
9,1,5.678,20,9,2,1,4,2,2,2,2,8,26,3
4,1,2.278,12,8,1,1,4,2,2,2,2,8,26,3
9,1,5.678,20,8,1,1,4,2,2,2,2,8,26,4
9,1,5.678,20,2,2,2,4,2,2,2,2,8,26,4
1,9,2.118,10,12,2,1,2,0,2,1,2,5,12,3
9,4,4.631,15,12,2,1,2,0,2,1,2,5,12,3
4,4,4.361,15,12,2,1,2,0,2,1,2,5,12,3
1,9,2.118,10,12,1,1,2,0,2,1,2,5,12,4
9,4,4.631,15,12,1,1,2,0,2,1,2,5,12,4
4,4,4.361,15,12,1,1,2,0,2,1,2,5,12,4
1,9,2.171,12,11,1,1,1,0,1,1,1,7,9,3
1,9,9.497,23,9,1,1,2,0,2,2,2,8,11,3
4,1,11.156,30,9,1,1,2,0,2,2,2,8,11,3
1,9,2.762,20,9,1,1,2,0,2,2,2,8,11,3
9,1,2.716,15,9,1,1,2,0,2,2,2,8,11,3
9,1,2.453,10,8,2,1,2,0,2,2,2,8,11,3
1,2,4.066,15,10,1,1,2,0,2,2,3,7,12,3
2,1,3.833,20,10,1,1,2,0,2,2,3,7,12,3
1,2,4.74,15,10,1,1,1,0,1,1,1,7,4,3
2,1,4.257,20,10,1,1,1,0,1,1,1,7,4,3
1,4,1.783,15,10,1,1,1,0,1,1,1,7,4,3
4,1,2.327,15,10,1,1,1,0,1,1,1,7,4,3
2,4,0.66,22,10,1,1,2,0,2,2,2,8,13,1
4,2,0.66,14,10,1,1,2,0,2,2,2,8,13,1
4,4,1.33,12,6,1,1,2,0,2,2,2,8,13,3
4,1,2.635,13,6,1,1,2,0,2,2,2,8,13,3
1,9,1.456,15,10,2,1,2,0,2,2,2,7,7,3
9,1,2.871,13,10,2,1,2,0,2,2,2,7,7,3
1,1,3.773,30,10,2,1,2,0,2,2,2,7,7,3
1,9,0.629,10,7,1,1,2,1,1,0,1,1,4,3
9,1,0.638,10,7,1,1,2,1,1,0,1,1,4,3
1,9,0.628,10,2,2,2,2,1,1,0,1,1,4,4
9,1,0.637,10,2,2,2,2,1,1,0,1,1,4,4
1,9,6.534,30,11,1,1,2,0,2,0,1,5,7,3
9,4,3.237,25,11,1,1,2,0,2,0,1,5,7,3
4,4,0.577,15,11,1,1,2,0,2,0,1,5,7,3
4,9,2.969,25,11,1,1,2,0,2,0,1,5,7,3
9,1,7.155,40,11,1,1,2,0,2,0,1,5,7,3
1,9,6.534,30,11,2,1,2,0,2,0,1,5,7,4
9,1,7.155,40,11,2,1,2,0,2,0,1,5,7,4
4,9,7.947,19,12,1,1,1,0,1,0,1,3,7,3
2,1,1.192,18,6,2,1,2,0,2,2,1,5,6,4
1,4,11.94,30,10,1,1,2,0,2,0,2,7,4,3
1,9,11.263,30,10,2,1,2,0,2,0,2,7,4,3
9,9,11.471,45,10,2,1,2,0,2,0,2,7,4,3
1,1,0.394,25,7,1,2,1,0,0,1,0,1,4,1
1,1,0.396,15,7,1,2,1,0,0,1,0,1,4,1
